,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.8640664531707765,1.546207537651062,0.31342,0.4151,0.65864,0.7733,15671.0,4151.0,32932.0,7733.0,50000,10000,33.75968790054321,391,157,0
0,1.5161299627685547,1.4339014688491822,0.44502,0.4858,0.78324,0.8134,22251.0,4858.0,39162.0,8134.0,50000,10000,33.139618158340454,391,157,1
0,1.3700070834350586,1.3253089935302735,0.50334,0.5164,0.82192,0.837,25167.0,5164.0,41096.0,8370.0,50000,10000,32.845858335494995,391,157,2
0,1.2460613259506226,1.1602227904319764,0.5545,0.5809,0.85006,0.8688,27725.0,5809.0,42503.0,8688.0,50000,10000,32.42884397506714,391,157,3
0,1.1560007865142823,1.0842825157165528,0.5855,0.6117,0.86768,0.8843,29275.0,6117.0,43384.0,8843.0,50000,10000,32.91846966743469,391,157,4
0,1.0821556114959716,1.155364980316162,0.61466,0.6089,0.88352,0.8655,30733.0,6089.0,44176.0,8655.0,50000,10000,33.776034116744995,391,157,5
0,1.034842931098938,1.0267211809158325,0.6355,0.6352,0.89126,0.893,31775.0,6352.0,44563.0,8930.0,50000,10000,32.386356353759766,391,157,6
0,0.9945121265029907,0.9955706785202026,0.65112,0.6533,0.8982,0.9028,32556.0,6533.0,44910.0,9028.0,50000,10000,32.812963247299194,391,157,7
0,0.9589712083816528,0.9569632579803466,0.66066,0.6636,0.9052,0.9038,33033.0,6636.0,45260.0,9038.0,50000,10000,33.216917514801025,391,157,8
0,0.9311169402694702,0.9379778211593628,0.6746,0.6756,0.90926,0.9079,33730.0,6756.0,45463.0,9079.0,50000,10000,32.47705841064453,391,157,9
0,0.8916235252952576,0.8802423347473145,0.68766,0.6891,0.91636,0.917,34383.0,6891.0,45818.0,9170.0,50000,10000,33.300377368927,391,157,10
0,0.8656216119003296,0.8933490140914917,0.6948,0.687,0.9194,0.9177,34740.0,6870.0,45970.0,9177.0,50000,10000,33.15431213378906,391,157,11
0,0.8431898149108886,0.9517993879318237,0.70408,0.6751,0.92302,0.9101,35204.0,6751.0,46151.0,9101.0,50000,10000,32.24023175239563,391,157,12
0,0.820183953781128,0.8603928039550781,0.71258,0.7038,0.92728,0.9259,35629.0,7038.0,46364.0,9259.0,50000,10000,33.1167938709259,391,157,13
0,0.8079084406089783,0.8246187629699707,0.71764,0.7146,0.92722,0.9278,35882.0,7146.0,46361.0,9278.0,50000,10000,33.216174602508545,391,157,14
0,0.7906505949020386,0.7954533686637878,0.7224,0.7254,0.9311,0.9326,36120.0,7254.0,46555.0,9326.0,50000,10000,32.998549938201904,391,157,15
0,0.7814855807685852,0.7732016291618348,0.72672,0.7333,0.9329,0.9328,36336.0,7333.0,46645.0,9328.0,50000,10000,32.40968608856201,391,157,16
0,0.7697897455787659,0.8202571014404297,0.73078,0.7243,0.9348,0.925,36539.0,7243.0,46740.0,9250.0,50000,10000,33.06732964515686,391,157,17
0,0.7574315950202942,0.8138227668762207,0.73562,0.7169,0.93586,0.9297,36781.0,7169.0,46793.0,9297.0,50000,10000,33.286009788513184,391,157,18
0,0.75650962184906,0.7797938395500184,0.73536,0.732,0.93552,0.9351,36768.0,7320.0,46776.0,9351.0,50000,10000,32.04342246055603,391,157,19
0,0.7398599551582337,0.7494288475036621,0.7416,0.7442,0.93854,0.9376,37080.0,7442.0,46927.0,9376.0,50000,10000,33.113303422927856,391,157,20
0,0.7365093115615845,0.7763358182907104,0.74312,0.7335,0.93812,0.9351,37156.0,7335.0,46906.0,9351.0,50000,10000,33.78591275215149,391,157,21
0,0.7269491709518433,0.7344492645263672,0.74818,0.7431,0.94048,0.9386,37409.0,7431.0,47024.0,9386.0,50000,10000,32.738364696502686,391,157,22
0,0.7215159688949585,0.7487925623893738,0.74646,0.7399,0.94232,0.9368,37323.0,7399.0,47116.0,9368.0,50000,10000,34.167590856552124,391,157,23
0,0.7183279597854614,0.7812816477775574,0.75164,0.7299,0.9421,0.94,37582.0,7299.0,47105.0,9400.0,50000,10000,33.61938500404358,391,157,24
0,0.710320883769989,0.7445216662406922,0.7518,0.7443,0.94452,0.9385,37590.0,7443.0,47226.0,9385.0,50000,10000,33.51145839691162,391,157,25
0,0.7073085976219178,0.7811874719619751,0.75246,0.732,0.94376,0.9363,37623.0,7320.0,47188.0,9363.0,50000,10000,32.96515083312988,391,157,26
0,0.7028865378189086,0.706117930984497,0.7554,0.7551,0.9438,0.9474,37770.0,7551.0,47190.0,9474.0,50000,10000,33.538472414016724,391,157,27
0,0.6999715869522095,0.8157852535247803,0.75512,0.7228,0.9438,0.9345,37756.0,7228.0,47190.0,9345.0,50000,10000,33.84500169754028,391,157,28
