,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.9910789255142212,1.830408365058899,0.2216,0.2948,0.56294,0.647,11080.0,2948.0,28147.0,6470.0,50000,10000,102.50824975967407,1563,157,0
0,1.7753407231903076,1.6206244735717774,0.32054,0.3878,0.68154,0.7485,16027.0,3878.0,34077.0,7485.0,50000,10000,99.65182852745056,1563,157,1
0,1.6619474211120606,1.5157631231307984,0.37248,0.4257,0.73086,0.7769,18624.0,4257.0,36543.0,7769.0,50000,10000,99.73527383804321,1563,157,2
0,1.5661001362991334,1.4506603326797485,0.41566,0.4577,0.76552,0.8011,20783.0,4577.0,38276.0,8011.0,50000,10000,99.41438698768616,1563,157,3
0,1.4946404164886475,1.3786990928649903,0.44834,0.4916,0.78922,0.8155,22417.0,4916.0,39461.0,8155.0,50000,10000,99.82075715065002,1563,157,4
0,1.4369580655288696,1.3126129755020142,0.47094,0.5145,0.80364,0.8367,23547.0,5145.0,40182.0,8367.0,50000,10000,99.48988628387451,1563,157,5
0,1.3708393531417846,1.2635090883255005,0.50026,0.5363,0.82294,0.8455,25013.0,5363.0,41147.0,8455.0,50000,10000,99.26772689819336,1563,157,6
0,1.3117928761291504,1.2218092138290406,0.52202,0.5566,0.83472,0.8586,26101.0,5566.0,41736.0,8586.0,50000,10000,99.99885511398315,1563,157,7
0,1.258880136947632,1.164139998817444,0.54528,0.5781,0.84988,0.8754,27264.0,5781.0,42494.0,8754.0,50000,10000,99.73639154434204,1563,157,8
0,1.2016940879821778,1.1108425057411193,0.56982,0.5951,0.86018,0.8799,28491.0,5951.0,43009.0,8799.0,50000,10000,99.91483545303345,1563,157,9
0,1.1533556092834472,1.0635897249221802,0.58736,0.6213,0.87108,0.8906,29368.0,6213.0,43554.0,8906.0,50000,10000,99.86727905273438,1563,157,10
0,1.1065389848327636,1.0332167882919312,0.60356,0.6332,0.87996,0.8941,30178.0,6332.0,43998.0,8941.0,50000,10000,99.83409976959229,1563,157,11
0,1.061435705947876,0.9955877805709838,0.61932,0.6433,0.8888,0.9001,30966.0,6433.0,44440.0,9001.0,50000,10000,99.77075004577637,1563,157,12
0,1.0117339830207825,0.9479181333541871,0.63662,0.6657,0.89832,0.9101,31831.0,6657.0,44916.0,9101.0,50000,10000,99.56144881248474,1563,157,13
0,0.967803973941803,0.9148236754417419,0.65516,0.6781,0.90616,0.9159,32758.0,6781.0,45308.0,9159.0,50000,10000,99.59352493286133,1563,157,14
0,0.9278909325027466,0.8772450225830078,0.67008,0.6911,0.91212,0.9193,33504.0,6911.0,45606.0,9193.0,50000,10000,99.52774405479431,1563,157,15
0,0.8936330116653443,0.8520586518287658,0.68364,0.7006,0.91642,0.9249,34182.0,7006.0,45821.0,9249.0,50000,10000,99.66198301315308,1563,157,16
0,0.8569555592250824,0.8218624527931213,0.69626,0.7118,0.92352,0.9298,34813.0,7118.0,46176.0,9298.0,50000,10000,99.58408975601196,1563,157,17
0,0.8213583130836487,0.8065214112281799,0.70922,0.7178,0.9278,0.9306,35461.0,7178.0,46390.0,9306.0,50000,10000,99.61549782752991,1563,157,18
0,0.7858410389900208,0.774690115737915,0.72046,0.7301,0.93354,0.9347,36023.0,7301.0,46677.0,9347.0,50000,10000,99.86886143684387,1563,157,19
0,0.7567053057289124,0.7462002203941345,0.7323,0.7394,0.93766,0.9412,36615.0,7394.0,46883.0,9412.0,50000,10000,99.39628386497498,1563,157,20
0,0.721675335521698,0.7155210761070252,0.74642,0.7511,0.94186,0.9437,37321.0,7511.0,47093.0,9437.0,50000,10000,99.84769868850708,1563,157,21
0,0.6961455940818787,0.7197094680309296,0.7551,0.7514,0.94558,0.9446,37755.0,7514.0,47279.0,9446.0,50000,10000,100.23423624038696,1563,157,22
0,0.6700463616847991,0.7007896356105805,0.76472,0.759,0.94914,0.9459,38236.0,7590.0,47457.0,9459.0,50000,10000,99.87231087684631,1563,157,23
0,0.6446485768604279,0.6686349328994751,0.77352,0.7698,0.95382,0.9501,38676.0,7698.0,47691.0,9501.0,50000,10000,100.1883864402771,1563,157,24
0,0.6257159512424469,0.6490522675037385,0.7794,0.7763,0.95404,0.9509,38970.0,7763.0,47702.0,9509.0,50000,10000,99.86522626876831,1563,157,25
0,0.6028574795532227,0.6396675006866455,0.78944,0.7796,0.9579,0.9521,39472.0,7796.0,47895.0,9521.0,50000,10000,99.70010352134705,1563,157,26
0,0.583345795841217,0.6248156743049622,0.79448,0.7843,0.95888,0.9529,39724.0,7843.0,47944.0,9529.0,50000,10000,99.6626524925232,1563,157,27
0,0.5631700564956665,0.6196332675933838,0.80344,0.7882,0.9615,0.9539,40172.0,7882.0,48075.0,9539.0,50000,10000,99.6479287147522,1563,157,28
0,0.5486920547008515,0.6201853549957276,0.80846,0.7899,0.96274,0.9545,40423.0,7899.0,48137.0,9545.0,50000,10000,99.6192352771759,1563,157,29
0,0.5308468597412109,0.596691309261322,0.81392,0.7942,0.96582,0.9594,40696.0,7942.0,48291.0,9594.0,50000,10000,99.9882242679596,1563,157,30
0,0.5171536589717864,0.5878533194065094,0.81844,0.8022,0.96748,0.9572,40922.0,8022.0,48374.0,9572.0,50000,10000,99.65192580223083,1563,157,31
0,0.499868494348526,0.5877027925491333,0.82294,0.8035,0.96888,0.9576,41147.0,8035.0,48444.0,9576.0,50000,10000,99.20808410644531,1563,157,32
0,0.48294574462652207,0.5903841778993607,0.8314,0.7977,0.97132,0.9587,41570.0,7977.0,48566.0,9587.0,50000,10000,99.90661144256592,1563,157,33
0,0.4689788988685608,0.5745851355552674,0.83274,0.8085,0.97174,0.9603,41637.0,8085.0,48587.0,9603.0,50000,10000,99.89795255661011,1563,157,34
0,0.46246574395179746,0.569987171459198,0.83664,0.809,0.97276,0.961,41832.0,8090.0,48638.0,9610.0,50000,10000,100.14071607589722,1563,157,35
0,0.4481436539077759,0.5589914897680283,0.8418,0.8128,0.97374,0.9615,42090.0,8128.0,48687.0,9615.0,50000,10000,100.03056168556213,1563,157,36
0,0.4383249860095978,0.5576987550735474,0.847,0.8155,0.9749,0.9629,42350.0,8155.0,48745.0,9629.0,50000,10000,100.07780528068542,1563,157,37
0,0.42061721093177795,0.5546277887821197,0.85178,0.8174,0.97708,0.9646,42589.0,8174.0,48854.0,9646.0,50000,10000,100.02138161659241,1563,157,38
0,0.4088289363527298,0.5513295962572098,0.85558,0.8196,0.97814,0.965,42779.0,8196.0,48907.0,9650.0,50000,10000,99.8556067943573,1563,157,39
0,0.4012862624502182,0.5516414570808411,0.85876,0.8204,0.97864,0.9633,42938.0,8204.0,48932.0,9633.0,50000,10000,99.66780829429626,1563,157,40
0,0.393039639544487,0.5362299004077912,0.86098,0.8224,0.97994,0.965,43049.0,8224.0,48997.0,9650.0,50000,10000,99.80482769012451,1563,157,41
0,0.38656763103961944,0.5282723237514496,0.86466,0.8296,0.98056,0.9657,43233.0,8296.0,49028.0,9657.0,50000,10000,99.68418526649475,1563,157,42
0,0.37180705039024353,0.5350989643573761,0.86828,0.8271,0.98228,0.9656,43414.0,8271.0,49114.0,9656.0,50000,10000,100.10375928878784,1563,157,43
0,0.3587747710561752,0.5365894621372223,0.8711,0.8279,0.98342,0.9652,43555.0,8279.0,49171.0,9652.0,50000,10000,99.51303434371948,1563,157,44
0,0.3513437975692749,0.537361365890503,0.8757,0.8307,0.98332,0.9667,43785.0,8307.0,49166.0,9667.0,50000,10000,99.63961982727051,1563,157,45
0,0.3424159217882156,0.5242061577796936,0.87868,0.8303,0.98434,0.9663,43934.0,8303.0,49217.0,9663.0,50000,10000,99.4340832233429,1563,157,46
0,0.3407612831258774,0.5282791862010956,0.8783,0.83,0.98426,0.9659,43915.0,8300.0,49213.0,9659.0,50000,10000,99.66368412971497,1563,157,47
0,0.3298482861638069,0.5221506553411484,0.88288,0.8308,0.98506,0.968,44144.0,8308.0,49253.0,9680.0,50000,10000,99.81311655044556,1563,157,48
0,0.31984323157310485,0.5271731432676315,0.88684,0.8356,0.98556,0.9653,44342.0,8356.0,49278.0,9653.0,50000,10000,100.10067939758301,1563,157,49
0,0.3147003356432915,0.5165395557165146,0.88948,0.8414,0.98698,0.9668,44474.0,8414.0,49349.0,9668.0,50000,10000,100.15436053276062,1563,157,50
0,0.30293961901664734,0.5227219751119614,0.89336,0.8375,0.98714,0.9654,44668.0,8375.0,49357.0,9654.0,50000,10000,100.07022309303284,1563,157,51
0,0.3020707087612152,0.5107375652790069,0.89328,0.8381,0.9879,0.9673,44664.0,8381.0,49395.0,9673.0,50000,10000,99.84142208099365,1563,157,52
0,0.29249894777059554,0.5146334585666656,0.89564,0.8407,0.98848,0.9685,44782.0,8407.0,49424.0,9685.0,50000,10000,99.72790622711182,1563,157,53
0,0.28716071163415907,0.5030949126243591,0.89728,0.8417,0.9884,0.968,44864.0,8417.0,49420.0,9680.0,50000,10000,99.61187171936035,1563,157,54
0,0.2799517037796974,0.5201018978595734,0.9003,0.8402,0.98986,0.9695,45015.0,8402.0,49493.0,9695.0,50000,10000,99.61900091171265,1563,157,55
0,0.2768805131220818,0.5199340923070908,0.90246,0.8397,0.9892,0.968,45123.0,8397.0,49460.0,9680.0,50000,10000,99.62638640403748,1563,157,56
0,0.27357931779146194,0.5134900585174561,0.90242,0.8396,0.9897,0.9691,45121.0,8396.0,49485.0,9691.0,50000,10000,99.99488854408264,1563,157,57
0,0.26042386807084084,0.5175685645103455,0.90678,0.8417,0.99026,0.9685,45339.0,8417.0,49513.0,9685.0,50000,10000,99.64701175689697,1563,157,58
0,0.2600908913773298,0.5097663739442825,0.90628,0.8465,0.9905,0.9689,45314.0,8465.0,49525.0,9689.0,50000,10000,99.75292539596558,1563,157,59
0,0.24727695788264276,0.5150452988624573,0.91062,0.8441,0.99156,0.9712,45531.0,8441.0,49578.0,9712.0,50000,10000,99.64856338500977,1563,157,60
0,0.24897438016533852,0.5153670682668686,0.911,0.8442,0.99142,0.9692,45550.0,8442.0,49571.0,9692.0,50000,10000,100.3799991607666,1563,157,61
0,0.24410340509057046,0.5184941663920879,0.91216,0.8442,0.99166,0.97,45608.0,8442.0,49583.0,9700.0,50000,10000,100.38273215293884,1563,157,62
0,0.23623471335172652,0.5282102478981018,0.91594,0.8449,0.9921,0.9705,45797.0,8449.0,49605.0,9705.0,50000,10000,99.99659299850464,1563,157,63
0,0.23439313546895982,0.5268343392848969,0.91684,0.8459,0.9926,0.9684,45842.0,8459.0,49630.0,9684.0,50000,10000,99.87437605857849,1563,157,64
0,0.2272903610408306,0.5145855820775032,0.91942,0.8497,0.99254,0.9714,45971.0,8497.0,49627.0,9714.0,50000,10000,99.72061276435852,1563,157,65
0,0.22237719007611276,0.5406017091035843,0.92068,0.8432,0.99354,0.9701,46034.0,8432.0,49677.0,9701.0,50000,10000,100.03984689712524,1563,157,66
0,0.22020085989236832,0.5142371031522751,0.92042,0.8509,0.99342,0.9714,46021.0,8509.0,49671.0,9714.0,50000,10000,99.66932010650635,1563,157,67
0,0.21468620594978333,0.5179824586391449,0.92352,0.8481,0.99402,0.9702,46176.0,8481.0,49701.0,9702.0,50000,10000,99.53629326820374,1563,157,68
0,0.211891509360075,0.5337813354969024,0.92386,0.8467,0.99398,0.9686,46193.0,8467.0,49699.0,9686.0,50000,10000,99.72377276420593,1563,157,69
0,0.2025437857079506,0.5187181019306183,0.92748,0.8496,0.99462,0.9722,46374.0,8496.0,49731.0,9722.0,50000,10000,99.9568989276886,1563,157,70
