,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.6831824062347411,1.3739770587921143,0.36812,0.4859,0.70986,0.8205,18406.0,4859.0,35493.0,8205.0,50000,10000,45.59314441680908,782,157,0
0,1.1953002798843384,1.125627870941162,0.56822,0.599,0.86046,0.8807,28411.0,5990.0,43023.0,8807.0,50000,10000,42.50728964805603,782,157,1
0,1.0465373984527588,0.988845952796936,0.62614,0.6429,0.89108,0.9033,31307.0,6429.0,44554.0,9033.0,50000,10000,42.37653040885925,782,157,2
0,0.9486061627197265,0.918043824672699,0.6623,0.6743,0.90632,0.9192,33115.0,6743.0,45316.0,9192.0,50000,10000,42.29086399078369,782,157,3
0,0.8851551658248902,0.9060867134094238,0.68732,0.6829,0.91778,0.9133,34366.0,6829.0,45889.0,9133.0,50000,10000,41.51994323730469,782,157,4
0,0.8213180163192749,0.9171400149345398,0.71548,0.689,0.9259,0.9261,35774.0,6890.0,46295.0,9261.0,50000,10000,42.24808692932129,782,157,5
0,0.7828935074234009,0.8383015253067017,0.728,0.7156,0.93302,0.9317,36400.0,7156.0,46651.0,9317.0,50000,10000,42.798309564590454,782,157,6
0,0.756203242111206,0.9154288185119629,0.73826,0.6897,0.93652,0.9295,36913.0,6897.0,46826.0,9295.0,50000,10000,41.630518198013306,782,157,7
0,0.7357334766674042,0.7461765619277954,0.74736,0.7493,0.93856,0.9393,37368.0,7493.0,46928.0,9393.0,50000,10000,42.16156840324402,782,157,8
0,0.7296740807723999,0.7551758862495422,0.74744,0.738,0.93958,0.9365,37372.0,7380.0,46979.0,9365.0,50000,10000,42.781381607055664,782,157,9
0,0.7106185107803344,0.7893530552864074,0.75274,0.7391,0.94262,0.9277,37637.0,7391.0,47131.0,9277.0,50000,10000,42.20497107505798,782,157,10
0,0.7047510861206054,0.7595483269691468,0.75692,0.7306,0.94332,0.9445,37846.0,7306.0,47166.0,9445.0,50000,10000,41.452579975128174,782,157,11
0,0.6920411010360717,0.7096261434078217,0.76186,0.7577,0.9436,0.9448,38093.0,7577.0,47180.0,9448.0,50000,10000,42.139076232910156,782,157,12
0,0.6841552713012695,0.7082880867958069,0.7626,0.7606,0.94686,0.9449,38130.0,7606.0,47343.0,9449.0,50000,10000,42.3073251247406,782,157,13
0,0.6815003979492188,0.9313014828681946,0.7642,0.7056,0.94526,0.9098,38210.0,7056.0,47263.0,9098.0,50000,10000,42.214688539505005,782,157,14
0,0.6723904333877564,0.8105682196617127,0.76848,0.7278,0.94684,0.9366,38424.0,7278.0,47342.0,9366.0,50000,10000,41.7266640663147,782,157,15
0,0.6732275891494751,0.7327448831558228,0.7673,0.7524,0.9466,0.9477,38365.0,7524.0,47330.0,9477.0,50000,10000,37.99186968803406,782,157,16
0,0.6678976247596741,0.8662639823913574,0.76938,0.7262,0.9489,0.9227,38469.0,7262.0,47445.0,9227.0,50000,10000,31.558446168899536,782,157,17
0,0.6645179653167724,0.7158352430343627,0.7719,0.7588,0.94694,0.942,38595.0,7588.0,47347.0,9420.0,50000,10000,37.31057405471802,782,157,18
0,0.6669570886993408,0.7541940704345703,0.76914,0.7485,0.94814,0.9456,38457.0,7485.0,47407.0,9456.0,50000,10000,42.63216519355774,782,157,19
0,0.661508853225708,0.6950981213569641,0.77242,0.7647,0.94788,0.9481,38621.0,7647.0,47394.0,9481.0,50000,10000,42.26186490058899,782,157,20
0,0.6561011676692963,0.7602100440979004,0.77486,0.7455,0.94812,0.9411,38743.0,7455.0,47406.0,9411.0,50000,10000,41.39040470123291,782,157,21
0,0.6494912046813965,0.7173405990600586,0.77652,0.7646,0.9495,0.9396,38826.0,7646.0,47475.0,9396.0,50000,10000,42.61411809921265,782,157,22
0,0.6475942184066772,0.7455651962280273,0.77692,0.7475,0.94988,0.94,38846.0,7475.0,47494.0,9400.0,50000,10000,42.13145613670349,782,157,23
0,0.6529321284866333,0.7206135741233826,0.77636,0.7565,0.94918,0.9389,38818.0,7565.0,47459.0,9389.0,50000,10000,42.56494760513306,782,157,24
0,0.6436210343551636,0.7195402081489563,0.77754,0.7585,0.95064,0.9408,38877.0,7585.0,47532.0,9408.0,50000,10000,41.1464421749115,782,157,25
0,0.6420672229385376,0.727912393951416,0.77754,0.7592,0.95086,0.9417,38877.0,7592.0,47543.0,9417.0,50000,10000,42.247910022735596,782,157,26
0,0.6443811356544494,0.78189587392807,0.7779,0.7457,0.95034,0.9374,38895.0,7457.0,47517.0,9374.0,50000,10000,42.63963723182678,782,157,27
0,0.6411199368095398,0.7646062413215637,0.77734,0.7358,0.95146,0.9423,38867.0,7358.0,47573.0,9423.0,50000,10000,41.454955101013184,782,157,28
0,0.6432914611053466,0.6858284208297729,0.77914,0.7775,0.94992,0.9478,38957.0,7775.0,47496.0,9478.0,50000,10000,42.453811168670654,782,157,29
0,0.6375622281837463,0.6705804187774658,0.7816,0.7747,0.9509,0.949,39080.0,7747.0,47545.0,9490.0,50000,10000,42.14912390708923,782,157,30
0,0.6431401082992554,0.6784665238380432,0.77788,0.7711,0.95104,0.952,38894.0,7711.0,47552.0,9520.0,50000,10000,42.14662528038025,782,157,31
0,0.6412821055984497,0.7306375173568725,0.77996,0.7542,0.9507,0.9455,38998.0,7542.0,47535.0,9455.0,50000,10000,41.44807696342468,782,157,32
0,0.6322110353469849,0.8081478075027466,0.78242,0.7404,0.95208,0.9277,39121.0,7404.0,47604.0,9277.0,50000,10000,42.20664834976196,782,157,33
0,0.6342558297538757,0.7314412291526794,0.78116,0.7556,0.95138,0.9408,39058.0,7556.0,47569.0,9408.0,50000,10000,42.75966286659241,782,157,34
0,0.6353304264450074,0.6612208337783814,0.77996,0.7802,0.952,0.9545,38998.0,7802.0,47600.0,9545.0,50000,10000,41.8414306640625,782,157,35
0,0.6318307215118408,0.6832118455886841,0.78248,0.7694,0.95264,0.9505,39124.0,7694.0,47632.0,9505.0,50000,10000,41.68569898605347,782,157,36
0,0.629431023979187,0.7250868166923523,0.78362,0.7511,0.95216,0.9457,39181.0,7511.0,47608.0,9457.0,50000,10000,42.680823802948,782,157,37
0,0.6286156862831116,0.7022797325134277,0.78274,0.7651,0.95298,0.9489,39137.0,7651.0,47649.0,9489.0,50000,10000,42.28225350379944,782,157,38
0,0.6261598186683655,0.6623262440681458,0.78466,0.7769,0.95308,0.9531,39233.0,7769.0,47654.0,9531.0,50000,10000,41.53599238395691,782,157,39
0,0.6258880899047852,0.6484568900108337,0.7839,0.7763,0.95264,0.9482,39195.0,7763.0,47632.0,9482.0,50000,10000,42.303149461746216,782,157,40
0,0.6250735139083863,0.635145889377594,0.78338,0.7839,0.95372,0.9532,39169.0,7839.0,47686.0,9532.0,50000,10000,42.37122583389282,782,157,41
0,0.6276699247360229,0.6907509395599365,0.7838,0.7682,0.95268,0.949,39190.0,7682.0,47634.0,9490.0,50000,10000,42.81862497329712,782,157,42
0,0.6250207723617554,0.6571868253707885,0.78374,0.7718,0.95466,0.9503,39187.0,7718.0,47733.0,9503.0,50000,10000,41.26987028121948,782,157,43
0,0.6286670033645629,0.6496817509651184,0.78422,0.7807,0.9525,0.9528,39211.0,7807.0,47625.0,9528.0,50000,10000,42.82291054725647,782,157,44
0,0.6307048728752136,0.6820185187339782,0.78082,0.7641,0.95302,0.9486,39041.0,7641.0,47651.0,9486.0,50000,10000,42.311500549316406,782,157,45
0,0.6209532126903534,0.6532389540672302,0.78574,0.7763,0.95384,0.9531,39287.0,7763.0,47692.0,9531.0,50000,10000,41.31454682350159,782,157,46
0,0.6319235959625245,0.650439166545868,0.78102,0.7833,0.95292,0.9527,39051.0,7833.0,47646.0,9527.0,50000,10000,42.873067140579224,782,157,47
0,0.6264906650161743,0.7712743698120117,0.7831,0.7512,0.95278,0.942,39155.0,7512.0,47639.0,9420.0,50000,10000,42.48657584190369,782,157,48
0,0.6244886869621277,0.6855300269126892,0.78438,0.7654,0.95362,0.9466,39219.0,7654.0,47681.0,9466.0,50000,10000,42.873650312423706,782,157,49
0,0.6253887995910644,0.6984668067932129,0.78318,0.7694,0.95284,0.9477,39159.0,7694.0,47642.0,9477.0,50000,10000,41.09839200973511,782,157,50
0,0.6220918736076355,0.7061266124725342,0.78588,0.7625,0.95426,0.9443,39294.0,7625.0,47713.0,9443.0,50000,10000,42.37063670158386,782,157,51
