,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.7124226247406007,1.6405806243896484,0.35272,0.433,0.70552,0.7796,17636.0,4330.0,35276.0,7796.0,50000,10000,47.44187355041504,782,157,0
0,1.225917530155182,1.2270412864685059,0.55276,0.5571,0.8549,0.8577,27638.0,5571.0,42745.0,8577.0,50000,10000,47.39100456237793,782,157,1
0,1.062988483352661,1.2737525072097777,0.61878,0.5547,0.88674,0.853,30939.0,5547.0,44337.0,8530.0,50000,10000,48.77218413352966,782,157,2
0,0.9680029752349854,1.0345096642494203,0.65472,0.6491,0.90416,0.8991,32736.0,6491.0,45208.0,8991.0,50000,10000,48.10282349586487,782,157,3
0,0.8943808085250855,0.9414902126312256,0.68646,0.672,0.9139,0.9127,34323.0,6720.0,45695.0,9127.0,50000,10000,48.187652826309204,782,157,4
0,0.8557987991714477,1.0506320629119874,0.6968,0.6421,0.92226,0.8937,34840.0,6421.0,46113.0,8937.0,50000,10000,48.956703186035156,782,157,5
0,0.8374160420036316,0.9116276933670044,0.70876,0.6956,0.924,0.9104,35438.0,6956.0,46200.0,9104.0,50000,10000,48.90968561172485,782,157,6
0,0.8093460753250122,0.8412850610733033,0.7164,0.7082,0.93058,0.9263,35820.0,7082.0,46529.0,9263.0,50000,10000,48.98308277130127,782,157,7
0,0.7972152124786377,0.8822094372749328,0.72392,0.7019,0.93158,0.9278,36196.0,7019.0,46579.0,9278.0,50000,10000,48.95332956314087,782,157,8
0,0.7854700568389893,0.779112135887146,0.72564,0.7333,0.93254,0.9369,36282.0,7333.0,46627.0,9369.0,50000,10000,48.91597819328308,782,157,9
0,0.7602062929344178,0.8852465961456298,0.73666,0.7032,0.93626,0.9287,36833.0,7032.0,46813.0,9287.0,50000,10000,48.99611186981201,782,157,10
0,0.7740165078735352,0.7922258800506592,0.732,0.7323,0.93392,0.9321,36600.0,7323.0,46696.0,9321.0,50000,10000,48.05673933029175,782,157,11
0,0.7492492443084717,0.77581303358078,0.73992,0.7355,0.93808,0.9341,36996.0,7355.0,46904.0,9341.0,50000,10000,48.03835439682007,782,157,12
0,0.7714838381576538,0.8628650186538697,0.7335,0.7107,0.93432,0.9231,36675.0,7107.0,46716.0,9231.0,50000,10000,48.847251892089844,782,157,13
0,0.8092395515060424,0.9025049701690674,0.71858,0.6968,0.92864,0.9195,35929.0,6968.0,46432.0,9195.0,50000,10000,48.15766930580139,782,157,14
0,0.772433630104065,0.7979302103042603,0.73044,0.7232,0.93524,0.9361,36522.0,7232.0,46762.0,9361.0,50000,10000,49.04871439933777,782,157,15
0,0.7678976348686218,5.457642953491211,0.73346,0.3255,0.93522,0.6222,36673.0,3255.0,46761.0,6222.0,50000,10000,48.300052642822266,782,157,16
0,0.8193543070983886,0.8820705238342286,0.71514,0.7125,0.92758,0.9136,35757.0,7125.0,46379.0,9136.0,50000,10000,48.150614738464355,782,157,17
0,0.7896364063835144,0.8108543958663941,0.72566,0.7158,0.93082,0.9332,36283.0,7158.0,46541.0,9332.0,50000,10000,48.801377296447754,782,157,18
0,0.7638439680862427,0.825315151309967,0.73638,0.7247,0.93464,0.9257,36819.0,7247.0,46732.0,9257.0,50000,10000,48.82726287841797,782,157,19
0,0.7502370104408265,0.9420224828720093,0.73932,0.6972,0.93698,0.9174,36966.0,6972.0,46849.0,9174.0,50000,10000,48.92483687400818,782,157,20
0,0.7499150224685669,0.8388446237564087,0.74008,0.7247,0.93764,0.9362,37004.0,7247.0,46882.0,9362.0,50000,10000,48.97185277938843,782,157,21
0,0.7457324765396118,0.8069054677963257,0.74322,0.7153,0.93766,0.936,37161.0,7153.0,46883.0,9360.0,50000,10000,49.059752225875854,782,157,22
0,0.750548261642456,0.7990191110610962,0.73914,0.7278,0.9379,0.9291,36957.0,7278.0,46895.0,9291.0,50000,10000,48.311530113220215,782,157,23
0,0.7609126943588257,0.7977858714103698,0.73794,0.7382,0.93532,0.93,36897.0,7382.0,46766.0,9300.0,50000,10000,49.09051847457886,782,157,24
0,0.7324901893043518,0.8877244239807129,0.74448,0.7041,0.93956,0.9252,37224.0,7041.0,46978.0,9252.0,50000,10000,49.078511238098145,782,157,25
0,0.7316290937042237,0.8065396183013916,0.74554,0.7318,0.9409,0.9328,37277.0,7318.0,47045.0,9328.0,50000,10000,49.127660274505615,782,157,26
0,0.7436698098945618,1.6892364191055298,0.7427,0.4952,0.93826,0.8222,37135.0,4952.0,46913.0,8222.0,50000,10000,49.14164733886719,782,157,27
0,0.7594797915077209,0.8509760141372681,0.73572,0.701,0.93604,0.9297,36786.0,7010.0,46802.0,9297.0,50000,10000,48.53224301338196,782,157,28
0,0.7416576387786865,1.13082759141922,0.74172,0.597,0.93828,0.9095,37086.0,5970.0,46914.0,9095.0,50000,10000,49.19515776634216,782,157,29
0,0.7559296338081359,0.848432859134674,0.73958,0.7095,0.93798,0.9227,36979.0,7095.0,46899.0,9227.0,50000,10000,48.523188829422,782,157,30
0,0.7632768881988525,0.8071631229400634,0.73548,0.7187,0.93584,0.9345,36774.0,7187.0,46792.0,9345.0,50000,10000,48.935922622680664,782,157,31
0,0.749261943435669,0.8881480350494385,0.73984,0.704,0.93816,0.9154,36992.0,7040.0,46908.0,9154.0,50000,10000,48.925678968429565,782,157,32
0,0.7446403301620483,0.8057948063850403,0.74096,0.7213,0.93794,0.9307,37048.0,7213.0,46897.0,9307.0,50000,10000,49.018824338912964,782,157,33
0,0.7991924754333496,0.8314828860282898,0.7243,0.7187,0.92942,0.9299,36215.0,7187.0,46471.0,9299.0,50000,10000,48.869935274124146,782,157,34
0,0.766381813583374,0.7946840973854065,0.7353,0.7284,0.9342,0.9337,36765.0,7284.0,46710.0,9337.0,50000,10000,49.0497567653656,782,157,35
0,0.7446617630767822,0.8181271192550659,0.7417,0.7213,0.93714,0.9366,37085.0,7213.0,46857.0,9366.0,50000,10000,49.247145652770996,782,157,36
0,0.725746197681427,0.7527188873291015,0.74604,0.7417,0.94136,0.9365,37302.0,7417.0,47068.0,9365.0,50000,10000,48.472394943237305,782,157,37
0,0.7517106441116334,0.9330980184555053,0.7413,0.6872,0.93654,0.9085,37065.0,6872.0,46827.0,9085.0,50000,10000,49.138493061065674,782,157,38
0,0.7265093269729614,0.7365162115097046,0.7488,0.7543,0.93982,0.9383,37440.0,7543.0,46991.0,9383.0,50000,10000,49.024141788482666,782,157,39
0,0.7134504292297363,0.7562474888801575,0.75292,0.7473,0.94134,0.9415,37646.0,7473.0,47067.0,9415.0,50000,10000,49.04538035392761,782,157,40
0,0.7117358091926574,0.7702075254440308,0.75364,0.742,0.94204,0.9333,37682.0,7420.0,47102.0,9333.0,50000,10000,49.02837252616882,782,157,41
0,0.7154963967514039,0.722123554611206,0.75156,0.7502,0.94174,0.9472,37578.0,7502.0,47087.0,9472.0,50000,10000,48.35400390625,782,157,42
0,0.7172911892700196,1.08133322725296,0.75196,0.6566,0.94078,0.8927,37598.0,6566.0,47039.0,8927.0,50000,10000,49.089043617248535,782,157,43
0,0.7469905179595947,0.7897127119064331,0.7407,0.7307,0.93834,0.9292,37035.0,7307.0,46917.0,9292.0,50000,10000,49.06703805923462,782,157,44
0,0.7270330313873291,0.8157252472877502,0.74886,0.7196,0.9397,0.9261,37443.0,7196.0,46985.0,9261.0,50000,10000,49.01827383041382,782,157,45
0,0.7113367270851135,0.7876066615104675,0.75436,0.7312,0.94244,0.9337,37718.0,7312.0,47122.0,9337.0,50000,10000,48.83188724517822,782,157,46
0,0.7152929403305054,0.7879935314655304,0.75244,0.7335,0.94218,0.9391,37622.0,7335.0,47109.0,9391.0,50000,10000,49.06647562980652,782,157,47
0,0.7152904989624024,0.9267153596878052,0.75344,0.6981,0.94156,0.9101,37672.0,6981.0,47078.0,9101.0,50000,10000,48.318867206573486,782,157,48
0,0.7416417096710205,0.8238540946006775,0.7432,0.7206,0.9395,0.9302,37160.0,7206.0,46975.0,9302.0,50000,10000,48.84037208557129,782,157,49
0,0.7528210774803161,0.8971094425201416,0.73954,0.699,0.93706,0.9145,36977.0,6990.0,46853.0,9145.0,50000,10000,48.301414489746094,782,157,50
0,0.7223631280517578,0.7553276906967163,0.74798,0.741,0.9405,0.9383,37399.0,7410.0,47025.0,9383.0,50000,10000,49.07985472679138,782,157,51
0,0.7031893766021728,1.2060223978996276,0.75368,0.6459,0.94354,0.9011,37684.0,6459.0,47177.0,9011.0,50000,10000,49.023420095443726,782,157,52
0,0.7060923834991455,0.9400420043945312,0.75674,0.6906,0.94342,0.9219,37837.0,6906.0,47171.0,9219.0,50000,10000,48.86567163467407,782,157,53
0,0.7195116254615783,1.2178764736175538,0.75054,0.6222,0.9411,0.8816,37527.0,6222.0,47055.0,8816.0,50000,10000,48.92631554603577,782,157,54
0,0.7159663767623902,0.8976370124816895,0.75166,0.7057,0.94378,0.9189,37583.0,7057.0,47189.0,9189.0,50000,10000,48.77643704414368,782,157,55
0,0.7335948295211792,0.9310239653587341,0.74468,0.6938,0.9397,0.9146,37234.0,6938.0,46985.0,9146.0,50000,10000,49.09946870803833,782,157,56
0,0.7471156220436096,0.7631045665740966,0.74194,0.7393,0.93642,0.9391,37097.0,7393.0,46821.0,9391.0,50000,10000,49.06281113624573,782,157,57
0,0.7270271909713745,0.849833403968811,0.74782,0.7184,0.94116,0.9349,37391.0,7184.0,47058.0,9349.0,50000,10000,49.00743818283081,782,157,58
0,0.7381956265830993,0.9046185069084167,0.74492,0.7022,0.93932,0.9191,37246.0,7022.0,46966.0,9191.0,50000,10000,48.64748764038086,782,157,59
0,0.7201433702087402,0.8779055572509765,0.74972,0.7031,0.94164,0.925,37486.0,7031.0,47082.0,9250.0,50000,10000,49.07744550704956,782,157,60
0,0.7173286582565308,1.9701400283813477,0.74832,0.4943,0.94124,0.7466,37416.0,4943.0,47062.0,7466.0,50000,10000,49.07216477394104,782,157,61
0,0.706781836605072,0.7488115735054016,0.75486,0.7511,0.94332,0.9398,37743.0,7511.0,47166.0,9398.0,50000,10000,48.90774607658386,782,157,62
